SERA 2026 - FINANCIAL OVERVIEW
Generated:,2026-02-01 11:17

=== EXECUTIVE SUMMARY ===
Category,Count,Budget (SAR),Percentage
Q1 Events,9,1298897,20.7%
Q2 Events,8,1145170,18.3%
Q3 Events,8,1345040,21.5%
Q4 Events,16,1530019,24.4%
Sports,3,367333,5.9%
Newsletters,52,580865,9.3%

GRAND TOTAL (ex-VAT),,6267324,100%
VAT (15%),,940098.6,
GRAND TOTAL (inc-VAT),,7207422.6,


=== ALL EVENTS DETAIL ===
#,Event Name (EN),Event Name (AR),Date,Quarter,Category,Attendance,Tier,Subtotal (SAR),Commission (SAR),Total (SAR)
1,Annual Meeting 2026,الاجتماع السنوي,February 3,Q1,Corporate Conference,300,Major,286500,42975,329475
2,Founding Day,يوم التأسيس,February 22,Q1,National Celebration,300,Light,63100,9465,72565
3,Employee Appreciation Day,يوم تقدير الموظف,March 2,Q1,Recognition Gala,300,Major,223000,33450,256450
4,International Women's Day,اليوم العالمي للمرأة,March 8,Q1,Awareness/Celebration,150,Medium,115250,17288,132538
5,Saudi Flag Day,يوم العلم السعودي,March 11,Q1,Patriotic Celebration,300,Light,65400,9810,75210
6,Ramadan Iftar,إفطار رمضان,Mid-March,Q1,Corporate Iftar,300,Major,213800,32070,245870
7,Mother's Day,يوم الأم,March 21,Q1,Appreciation Event,130,Medium,74925,11239,86164
8,Saudi Green Initiative,المبادرة الخضراء السعودية,March 27,Q1,Sustainability Awareness,250,Light,45500,6825,52325
9,Ehsan Philanthropy Campaign,حملة إحسان,March,Q1,CSR/Charity,200,Light,42000,6300,48300
10,Eid Al-Fitr Celebration,احتفال عيد الفطر,Early April,Q2,Major Gala,300,Major,289500,43425,332925
11,Creativity & Innovation Day,يوم الإبداع والابتكار,April 21,Q2,Professional Development,200,Medium,176000,26400,202400
12,International Tea Day,اليوم العالمي للشاي,May 21,Q2,Social/Wellness,250,Light,48000,7200,55200
13,Joy Clothing Drive,كسوة فرح,May,Q2,CSR/Charity,200,Light,44000,6600,50600
14,World No Tobacco Day,اليوم العالمي لمكافحة التدخين,May 31,Q2,Health Awareness,200,Light,58600,8790,67390
15,Blood Donation Day,يوم التبرع بالدم,June 14,Q2,CSR/Health,120,Light,30300,4545,34845
16,Father's Day,يوم الأب,June 15,Q2,Appreciation Event,160,Medium,74900,11235,86135
17,Eid Al-Adha Celebration,احتفال عيد الأضحى,Mid-June,Q2,Major Gala,300,Major,274500,41175,315675
18,Summer SERA,صيف سيرا,July 20,Q3,Seasonal Family Event,500,Major,363500,54525,418025
19,SERA Winter,شتوية سيرا,August 19,Q3,Seasonal Indoor Event,300,Medium,118000,17700,135700
20,World First Aid Day,اليوم العالمي للإسعافات الأولية,September 13,Q3,Health Awareness,200,Light,59000,8850,67850
21,تزود Skills Development,تزوّد,September,Q3,Professional Development,200,Medium,103500,15525,119025
22,World Alzheimer's Day,اليوم العالمي للزهايمر,September 21,Q3,Health Awareness,200,Light,32500,4875,37375
23,وش دورنا – What's Our Role,وش دورنا,September,Q3,Internal Engagement,200,Light,51600,7740,59340
24,Saudi National Day (96th),اليوم الوطني السعودي,September 23,Q3,National Celebration,300,Major,358500,53775,412275
25,Environment Week,أسبوع البيئة,Q3 TBD,Q3,Sustainability Awareness,250,Medium,83000,12450,95450
26,International Coffee Day,اليوم العالمي للقهوة,October 1,Q4,Social/Wellness,250,Light,47250,7088,54338
27,Breast Cancer Awareness Day,اليوم العالمي لسرطان الثدي,October,Q4,Health Awareness,200,Light,46000,6900,52900
28,Cybersecurity Exhibition,معرض الأمن السيبراني,October TBD,Q4,Professional/Awareness,250,Medium,176750,26513,203263
29,World Mental Health Day,اليوم العالمي للصحة النفسية,October 10,Q4,Health Awareness,200,Light,54000,8100,62100
30,World Savings Day,اليوم العالمي للادخار,October 31,Q4,Financial Awareness,200,Light,45000,6750,51750
31,Quality Day,يوم الجودة,November 10,Q4,Professional Development,180,Medium,76600,11490,88090
32,Flu Vaccination Campaign,حملة التطعيم ضد الإنفلونزا,November,Q4,Health Campaign,250,Light,46750,7013,53763
33,World Diabetes Day,اليوم العالمي للسكري,November 14,Q4,Health Awareness,200,Light,47000,7050,54050
34,International Men's Day,اليوم العالمي للرجل,November 19,Q4,Appreciation Event,200,Medium,75500,11325,86825
35,Universal Children's Day,اليوم العالمي للطفل,November 20,Q4,CSR/Family,200,Medium,87000,13050,100050
36,Volunteer Day,يوم التطوع,December 5,Q4,CSR Activity,80,Light,29600,4440,34040
37,Anti-Corruption Day,اليوم العالمي لمكافحة الفساد,December 9,Q4,Awareness,200,Light,47500,7125,54625
38,Transformation Activities,أنشطة ومبادرات التحول,Q4 TBD,Q4,Digital Transformation,200,Medium,63000,9450,72450
39,Ideal Office Competition,المكتب المثالي,Q4 TBD,Q4,Internal Competition,200,Light,51500,7725,59225
40,Arabic Language Day,اليوم العالمي للغة العربية,December 18,Q4,Cultural Celebration,200,Medium,80500,12075,92575
41,Year-End Celebration,حفل نهاية العام,Late December,Q4,Major Gala,300,Major,356500,53475,409975

,ALL EVENTS TOTAL,,,,,,,4625325,693801,5319126


=== SPORTS EVENTS ===
Sport (EN),Sport (AR),Participants,Subtotal (SAR),Commission (SAR),Total (SAR)
Football Tournament,بطولة كرة القدم,150,126880,19032,145912
Padel Tournament,بطولة البادل,20,53540,8031,61571
Walking Challenge & SERA Friday,تحدي المشي + جمعة سيرا,200,139000,20850,159850
SPORTS TOTAL,,,319420,47913,367333


=== NEWSLETTERS ===
Item,Issues,Subtotal (SAR),Commission (SAR),Total (SAR)
52 Weekly Newsletters,52,505100,75765,580865
