"SERA Annual Events 2026 - Technical Proposal",,,,,,
"Prepared for: Saudi Electricity Regulatory Authority (هيئة تنظيم الكهرباء)",,,,,,
"Location: All events in Riyadh",,,,,,
"Date Prepared: January 2026",,,,,,
,,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
"SECTION 1: EXECUTIVE SUMMARY",,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
,,,,,,
"Event Category","Number of Events","Primary Audience","Typical Attendance","Event Format","Key Deliverables","Notes"
"Major Corporate Celebrations","4","All Employees","250-300","Reception/Gala","Venue, Catering, Entertainment, Gifts","Eid Fitr, Eid Adha, National Day, Year-End"
"Awareness Days & CSR","12","All Employees","150-250","Interactive Booth/Exhibition","Setup, Materials, Activities","Health, Safety, Social themes"
"Sports Tournaments","3","Male Employees (10 teams)","120-150 participants","Competition Format","Venue, Equipment, Referees, Prizes","Football, Padel, etc."
"Seasonal Programs","2","All Employees + Families","250-300","Multi-activity Event","Program, Entertainment, F&B","Summer SERA, Winter SERA"
"Professional Development","2","Selected Staff","100-150","Conference/Workshop","Speakers, Materials, Certificates","Annual Meeting, Innovation Day"
"Total Annual Events","23+","","","","",""
,,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
"SECTION 2: Q1 EVENTS (January - March) - DETAILED SPECIFICATIONS",,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
,,,,,,
"Event","Date","Type","Attendance","Venue Recommendation","Technical Requirements","Scope of Work"
"Annual Meeting 2026","February 3","Corporate Conference","250-300","5-Star Hotel Ballroom (e.g., Ritz-Carlton, Four Seasons)","Stage (8m x 4m), LED Screen (4m x 2.5m), Professional Sound System, 4 Wireless Mics, Podium, Presentation Clickers, Live Streaming Setup","Full event management including registration desk, name badges, agenda booklets, simultaneous translation (Arabic/English), professional MC, photography & videography team"
"Employee Appreciation Day","March 2","Recognition Ceremony","250-300","SERA HQ or 5-Star Hotel","Stage setup with backdrop, Award pedestals, Recognition certificates, Trophy display, Sound system, Lighting for ceremonies","Event design & branding, Award design & production, Employee recognition program coordination, Entertainment (live band or performance), Gala dinner setup"
"International Women's Day","March 8","Awareness/Celebration","150 (female employees)","Boutique Venue or Hotel (Ladies Section)","Elegant décor, Stage for speakers, Presentation equipment, Photo booth setup","Keynote speaker arrangement, Panel discussion setup, Gift bags for attendees, Flower arrangements, Light refreshments"
"Saudi Flag Day","March 11","Patriotic Celebration","250-300","SERA HQ Outdoor Area/Lobby","Large Saudi flag display, National colors decoration, Photo opportunity setup, Sound system","Flag raising ceremony coordination, Patriotic content display, Commemorative items, Social media coverage"
"Ramadan Iftar","Mid-March","Corporate Iftar","250-300","5-Star Hotel Ramadan Tent (e.g., Fairmont, Four Seasons)","Traditional Ramadan décor, Prayer area arrangement, VIP seating section, Arabic entertainment setup","Complete Iftar buffet coordination, Ramadan ambiance setup, Traditional entertainment (Oud player/Mawwal), Gift distribution, Charity announcement"
"Mother's Day","March 21","Appreciation Event","100-150 (mothers of employees or female staff)","Elegant restaurant or hotel venue","Floral arrangements, Stage for presentations, Photo booth","Gifts for mothers, Entertainment, Celebratory program, Light refreshments"
,,,,,,
"Q1 Technical Requirements Summary:",,,,,,
"Item","Specification","Quantity Needed","Supplier Type","Quality Standard","",""
"LED Video Walls","P2.5 Indoor, minimum 4m x 2.5m","2 events","Premium AV Rental","Broadcast quality","",""
"Professional Sound System","Line array + wireless mics","6 events","Premium AV Rental","Concert grade","",""
"Stage & Backdrop","Custom branded, modular","4 events","Event Production Company","Professional finish","",""
"Photography","Professional event photographer","6 events","Licensed photographer","Portfolio quality","",""
"Videography","4K multi-camera","3 events","Professional production house","Broadcast quality","",""
"Simultaneous Translation","Arabic/English booths","1 event","Specialized vendor","Certified interpreters","",""
,,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
"SECTION 3: Q2 EVENTS (April - June) - DETAILED SPECIFICATIONS",,,,,,
"═══════════════════════════════════════════════════════════════════════════════════════",,,,,,
,,,,,,
"Event","Date","Type","Attendance","Venue Recommendation","Technical Requirements","Scope of Work"
"Eid Al-Fitr Celebration","Early April","Major Celebration","250-300","5-Star Hotel Ballroom","Full stage production, LED screens, Premium sound & lighting, Photo booth, Entertainment stage","Complete event management, Gala setup, Traditional entertainment (Ardah performance available), Premium catering, Eid gifts for all employees, Children's corner (if families invited)"
"Creativity & Innovation Day","April 21","Professional Development","150-200","Conference Center or Hotel","Innovation showcase booths, Presentation stage, Interactive displays, Voting systems for innovation awards","Innovation competition coordination, Judging panel setup, Award ceremony, Keynote speakers on innovation, Workshop facilitation"
"International Tea Day","May 21","Wellness/Social","200-250","SERA HQ Common Areas","Tea stations (Arabic, English, Asian varieties), Decorative setup, Information displays","Multiple tea service stations, Tea tasting program, Educational materials about tea culture, Light snacks pairing"
"Blood Donation Day","June 14","CSR/Health","100+ donors","SERA HQ with Medical Setup","Medical screening area, Donation beds (coordinated with blood bank), Recovery area, Registration system","Coordination with Saudi Red Crescent, Pre-event awareness campaign, Donor appreciation gifts, Refreshments for donors, Certificates of appreciation"
"Father's Day","June 15","Appreciation Event","100-150","Restaurant or event space","Decorative setup, Photo opportunities, Sound for announcements","Gifts for fathers, Celebratory program, Family-friendly activities if extended"
