SERA Annual Events Calendar 2026 - Overview,,,,,,,
Saudi Electricity Regulatory Authority (هيئة تنظيم الكهرباء),,,,,,,
All Events in Riyadh | Currency: SAR | Prices Exclude 15% VAT,,,,,,,
,,,,,,,
#,Event Name,Arabic Name,Date,Quarter,Category,Est. Attendance,Event Tier
1,Annual Meeting 2026,الاجتماع السنوي,February 3,Q1,Corporate Conference,300,Major
2,Employee Appreciation Day,يوم تقدير الموظف,March 2,Q1,Recognition Ceremony,300,Major
3,International Women's Day,اليوم العالمي للمرأة,March 8,Q1,Awareness/Celebration,150,Medium
4,Saudi Flag Day,يوم العلم السعودي,March 11,Q1,Patriotic Celebration,300,Light
5,Ramadan Iftar,إفطار رمضان,Mid-March,Q1,Corporate Iftar,300,Major
6,Mother's Day,يوم الأم,March 21,Q1,Appreciation Event,120,Medium
7,Eid Al-Fitr Celebration,احتفال عيد الفطر,Early April,Q2,Major Celebration,300,Major
8,Creativity & Innovation Day,يوم الإبداع والابتكار,April 21,Q2,Professional Development,200,Medium
9,International Tea Day,اليوم العالمي للشاي,May 21,Q2,Social/Wellness,250,Light
10,Blood Donation Day,يوم التبرع بالدم,June 14,Q2,CSR/Health,120,Light
11,Father's Day,يوم الأب,June 15,Q2,Appreciation Event,150,Medium
12,Eid Al-Adha Celebration,احتفال عيد الأضحى,Mid-June,Q2,Major Celebration,300,Major
13,Summer SERA (صيف SERA),صيف سيرا,July 20,Q3,Seasonal Family Event,500,Major
14,World Alzheimer's Day,اليوم العالمي للزهايمر,September 21,Q3,Health Awareness,200,Light
15,Saudi National Day (96th),اليوم الوطني السعودي,September 23,Q3,National Celebration,300,Major
16,International Coffee Day,اليوم العالمي للقهوة,October 1,Q4,Social/Wellness,250,Light
17,Cybersecurity Exhibition,معرض الأمن السيبراني,October TBD,Q4,Professional/Awareness,250,Medium
18,World Mental Health Day,اليوم العالمي للصحة النفسية,October 10,Q4,Health Awareness,200,Light
19,Quality Day,يوم الجودة,November 10,Q4,Professional Development,180,Medium
20,International Men's Day,اليوم العالمي للرجل,November 19,Q4,Appreciation Event,200,Medium
21,Universal Children's Day,اليوم العالمي للطفل,November 20,Q4,CSR/Family,200,Medium
22,Volunteer Day,يوم التطوع,December 5,Q4,CSR Activity,75,Light
23,International Anti-Corruption Day,اليوم العالمي لمكافحة الفساد,December 9,Q4,Awareness/Professional,200,Light
24,Arabic Language Day,اليوم العالمي للغة العربية,December 18,Q4,Cultural Celebration,200,Medium
25,Year-End Celebration,حفل نهاية العام,Late December,Q4,Major Gala,300,Major
S1,Football Tournament,بطولة كرة القدم,TBD (2-3 weekends),Sports,Sports Competition,150,Major
S2,Padel Tournament,بطولة البادل,TBD (1-2 weekends),Sports,Sports Competition,20,Medium
,,,,,,,
BUDGET SUMMARY,,,,,,,
Category,Number of Events,Budget Range (SAR),Recommended (SAR),,,,
Q1 Events,6,"700,000 - 850,000","784,000",,,,
Q2 Events,6,"720,000 - 860,000","788,000",,,,
Q3 Events,3,"550,000 - 680,000","615,000",,,,
Q4 Events,10,"750,000 - 900,000","814,000",,,,
Sports Tournaments,2,"130,000 - 180,000","151,000",,,,
,,,,,,,
GRAND TOTAL (ex-VAT),27 events,"2,850,000 - 3,470,000","3,152,000",,,,
VAT (15%),,"427,500 - 520,500","472,800",,,,
GRAND TOTAL (inc. VAT),,"3,277,500 - 3,990,500","3,624,800",,,,
,,,,,,,
RECOMMENDED ANNUAL BUDGET (inc. VAT + 10% Contingency):,,"SAR 3,987,000",,,,
