SERA 2026 - Technical Proposal,,,,,,,
,,,,,,,
EVENT #,EVENT NAME,DATE,VENUE RECOMMENDATION,STAGE & DÉCOR,AUDIO-VISUAL REQUIREMENTS,CATERING SPECIFICATION,ADDITIONAL SERVICES
,,,,,,,
,Q1 EVENTS (January - March),,,,,,
1,Annual Meeting 2026,February 3,"5-Star Hotel Ballroom (Ritz-Carlton, Four Seasons, or Fairmont Riyadh)","Stage 8m x 4m with branded backdrop, modular design, podium with SERA logo, corporate formal theme","LED Screen P2.5 indoor 4m x 2.5m, Professional line-array sound, 4 wireless mics, presentation clickers, live streaming setup, recording","Premium hotel lunch buffet (8+ items), 2x coffee breaks (Arabic coffee, tea, juices, 4 pastry items), water stations","Simultaneous Arabic/English translation (2 interpreters + equipment), Professional MC (bilingual), Registration desk with QR check-in + name badges, Agenda booklets, Photography (2 photographers, 400+ edited photos), Videography (2 cameras, 5-min highlight reel)"
2,Employee Appreciation Day,March 2,"5-Star Hotel Ballroom, Gala dinner setup with round tables","Gala stage with premium décor, award pedestals, LED lighting for ceremony ambiance, recognition wall display","Full AV package: screens, sound, spotlight for award ceremony, background music system","3-course plated dinner OR premium buffet (SAR 280/person level), welcome drinks, dessert station","Award design & production (10 crystal trophies + certificates), Live band (2-hour performance), Employee gift boxes, Full photography & videography team, Professional event MC"
3,International Women's Day,March 8,"Boutique venue or hotel ladies' section (e.g., Mandarin Oriental, Four Seasons private space)","Elegant feminine décor, floral centerpieces, stage for speakers, photo booth with elegant backdrop","Presentation projector, wireless mic for panel, ambient music system","Refined ladies' lunch (SAR 180/person), afternoon tea service","Keynote female speaker + panel discussion (3-4 speakers), Curated gift bags (skincare, accessories), Premium floral arrangements, Female photographer preferred, Photo booth with props"
4,Saudi Flag Day,March 11,"SERA HQ - Main lobby and outdoor area","Large Saudi flag display (5m+), national green & white color scheme throughout, photo opportunity spots","Portable sound system for national anthem and speeches","Arabic coffee (dallah service), dates, traditional Saudi sweets, water","Flag raising ceremony coordination, Commemorative items (flag pins, badges), Social media live coverage, Photography (2 hours)"
5,Ramadan Iftar,Mid-March,"5-Star Hotel Ramadan Tent (Fairmont, Four Seasons, Ritz-Carlton)","Traditional Ramadan décor: lanterns, crescent motifs, VIP seating section (10% of guests), majlis-style areas","Ambient lighting, background Quran recitation system, wireless mic for speeches","Premium 5-star Iftar buffet (SAR 350/person) with live cooking stations, traditional Arabic dishes, VIP upgrade for 30 guests","Traditional entertainment (Oud player), Ramadan gift boxes (premium dates, tasbih, Ramadan items), Prayer area arrangement, Photography (evening coverage)"
6,Mother's Day,March 21,"Elegant restaurant private section or boutique hotel venue","Floral-themed décor, soft lighting, greeting card display, photo area","Basic sound for music and announcements","Private restaurant lunch/brunch (SAR 200/person), elegant presentation","Individual flower gift for each attendee, Special gifts for mothers (50% assumed to be mothers), Light entertainment/musical performance, Photography (3 hours)"
,,,,,,,
,Q2 EVENTS (April - June),,,,,,
