SERA 2026 - Assumptions / Notes / Payment Terms,,,
,,,
SECTION 1: KEY ASSUMPTIONS,,,
,,,
#,Assumption,Impact if Different,Action Required
1,All events take place in Riyadh only,"If other cities (Jeddah, Dammam, etc.), add 15-25% for travel, accommodation, and local logistics","Confirm all events are Riyadh-based with SERA"
2,"Reception/celebration events: 250-300 attendees","Catering, venue size, and gifts scale linearly with headcount","SERA to provide confirmed headcount per event 2 weeks before"
3,Sports tournaments: 10 teams per sport (men only),"More teams = longer tournament duration + more jerseys, venue days, referees","Set registration cap at 10 teams; SERA to confirm"
4,All referees and sports officials are Riyadh-based,"If specialized refs needed from other cities, add SAR 2,000-5,000 for travel and accommodation per person","Use Saudi Football Federation / Padel Federation certified officials from Riyadh"
5,SERA HQ is available at no cost for internal events,"If external venue needed for all events, add SAR 15,000-25,000 per awareness day event","SERA admin to confirm HQ availability per event"
6,"Standard corporate gifts (SAR 50-120 range per person)","Premium/luxury gifts (SAR 200-500) would significantly increase budget per event","Confirm gift tier with SERA per event category"
7,SERA does not own professional AV equipment (rented per event),"If SERA owns AV gear, reduce AV line items by SAR 5,000-15,000 per event","Audit SERA's existing AV inventory"
8,"Standard professional entertainment (bands, performers)","Celebrity or high-profile entertainment adds SAR 50,000-500,000+ per appearance","Confirm entertainment tier with SERA per major event"
9,Ramadan dates based on expected 2026 calendar,"Exact Ramadan dates shift - may affect Q1/Q2 event scheduling","Confirm Hijri calendar alignment when dates announced"
10,All prices reflect 2026 market rates (5-10% inflation factored in from 2025),"If contracts delayed to late 2026, additional price adjustments may apply","Include price escalation clause in vendor contracts"
11,Event management fee: 10% (standard) or 12% (major/complex events),"Industry standard in KSA ranges 8-15% depending on scope","Negotiable for annual contract commitment"
12,VAT at 15% applied on all services,"VAT rate changes would affect total budget","Standard Saudi ZATCA requirement"
13,"Women's Day event requires female photographer, ladies-only venue section","Mixed-gender events reduce venue restriction requirements","Standard Saudi practice for government entities"
14,Children/family events (Summer SERA/Children's Day) include ~200 family members,"If employees only (no families), attendance and budget reduce by 40%","Confirm family invitation policy with SERA"
15,Saudi National Day is a major-tier event with premium budget allocation,"If treated as standard event, budget reduces by SAR 100,000+","National Day is typically highest-profile for government entities"
,,,
SECTION 2: PRICING METHODOLOGY,,,
,,,
Category,Pricing Basis,Market Rate Source,
Venue Rental (5-Star Hotels),"Direct quotes from Fairmont, Four Seasons, Ritz-Carlton Riyadh","KSA 5-star hotel 2025 event packages + 5% inflation",
Venue Rental (Business Hotels),"Marriott, Hilton, Radisson Blu published rates","2025 corporate booking rates + 5% inflation",
Catering (Premium),"5-star hotel per-person buffet rates in Riyadh","SAR 220-350/person range based on hotel tier and menu complexity",
Catering (Standard),"Business hotel and external catering rates","SAR 100-180/person for standard corporate events",
Ramadan Iftar Catering,"Seasonal Ramadan tent pricing at luxury hotels","SAR 300-600/person at 5-star hotels (2025 Ramadan season actual)",
Photography / Videography,"Riyadh professional event photography market","SAR 2,000-5,000 per photographer/day; SAR 7,500-15,000 for video packages",
Audio-Visual Equipment,"AV rental companies: Standsbay, Prince AV, BRX Events","SAR 8,000-20,000 per event depending on scope",
Entertainment,"Riyadh entertainment agencies","SAR 5,000-25,000 per performance depending on act type",
Corporate Gifts,"CorporategiftsKSA, Prolines, GiftsKSA catalogs","SAR 25-120/person standard; SAR 150-500/person premium",
Sports Venue (Football),Football pitch rental in Riyadh (Goals, 360 Sports),"SAR 3,000-6,000/day for 2 pitches",
Sports Venue (Padel),"Padel court rental (Padel Up, Rush, The Garage)","SAR 350-550 per 90-minute session per court",
Event Management Fee,Industry standard for KSA corporate/government events,"10-15% of total event cost; 10% standard, 12% for complex events",
,,,
SECTION 3: PAYMENT TERMS (KSA Standard),,,
,,,
Term,Condition,Details,
Advance Payment,30% upon contract signing,"Secures vendor commitments and venue bookings",
Progress Payment,40% two weeks before each event,"Triggers final vendor confirmations, material production",
Final Payment,30% within 14 business days post-event,"Upon delivery of all materials (photos, videos, reports)",
,,,
